time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-01-25T01:00:00.0000000Z,2018-01-25T02:00:00.0000000Z,2018-01-25T01:01:36.0000000Z,2018-01-25T01:59:27.0000000Z,1656.37,1684.99,1653.1,1669.92,150.03218089,308
2018-01-25T02:00:00.0000000Z,2018-01-25T03:00:00.0000000Z,2018-01-25T02:00:05.0000000Z,2018-01-25T02:59:56.0000000Z,1671.2,1703.95,1656.39,1684.89,147.86033564,304
2018-01-25T03:00:00.0000000Z,2018-01-25T04:00:00.0000000Z,2018-01-25T03:00:04.0000000Z,2018-01-25T03:57:22.0000000Z,1688.75,1707.98,1682.71,1693.89,71.43261462,219
2018-01-25T04:00:00.0000000Z,2018-01-25T05:00:00.0000000Z,2018-01-25T04:01:47.0000000Z,2018-01-25T04:59:21.0000000Z,1693.91,1700.44,1659.51,1670.99,38.48798427,213
2018-01-25T05:00:00.0000000Z,2018-01-25T06:00:00.0000000Z,2018-01-25T05:00:05.0000000Z,2018-01-25T05:59:49.0000000Z,1670.99,1691.29,1670.99,1687.83,45.27073935,162
2018-01-25T06:00:00.0000000Z,2018-01-25T07:00:00.0000000Z,2018-01-25T06:00:06.0000000Z,2018-01-25T06:58:59.0000000Z,1688.07,1697.55,1676.42,1684.98,91.81755495,188
2018-01-25T07:00:00.0000000Z,2018-01-25T08:00:00.0000000Z,2018-01-25T07:02:28.0000000Z,2018-01-25T07:59:22.0000000Z,1683.0,1687.0,1666.47,1671.64,72.4366469,167
2018-01-25T08:00:00.0000000Z,2018-01-25T09:00:00.0000000Z,2018-01-25T08:00:13.0000000Z,2018-01-25T08:58:56.0000000Z,1672.2,1676.26,1650.0,1650.0,49.238942759,214
2018-01-25T09:00:00.0000000Z,2018-01-25T10:00:00.0000000Z,2018-01-25T09:01:29.0000000Z,2018-01-25T09:59:55.0000000Z,1650.0,1654.0,1631.26,1644.36,104.6522169,249
2018-01-25T10:00:00.0000000Z,2018-01-25T11:00:00.0000000Z,2018-01-25T10:00:37.0000000Z,2018-01-25T10:59:25.0000000Z,1644.71,1668.41,1644.7,1653.01,44.86700669,166
2018-01-25T11:00:00.0000000Z,2018-01-25T12:00:00.0000000Z,2018-01-25T11:00:05.0000000Z,2018-01-25T11:59:56.0000000Z,1653.01,1666.43,1621.89,1629.71,119.55202665,210
2018-01-25T12:00:00.0000000Z,2018-01-25T13:00:00.0000000Z,2018-01-25T12:00:06.0000000Z,2018-01-25T12:57:45.0000000Z,1629.67,1648.64,1609.31,1616.1,162.88710455,283
2018-01-25T13:00:00.0000000Z,2018-01-25T14:00:00.0000000Z,2018-01-25T13:01:07.0000000Z,2018-01-25T13:58:40.0000000Z,1619.06,1651.82,1619.06,1643.55,146.68872558,250
2018-01-25T14:00:00.0000000Z,2018-01-25T15:00:00.0000000Z,2018-01-25T14:00:36.0000000Z,2018-01-25T14:56:32.0000000Z,1641.0,1650.0,1626.05,1631.0,42.76074099,127
2018-01-25T15:00:00.0000000Z,2018-01-25T16:00:00.0000000Z,2018-01-25T15:03:41.0000000Z,2018-01-25T15:59:37.0000000Z,1628.32,1638.85,1597.2,1598.0,167.96417237,343
2018-01-25T16:00:00.0000000Z,2018-01-25T17:00:00.0000000Z,2018-01-25T16:00:26.0000000Z,2018-01-25T16:58:35.0000000Z,1598.01,1628.58,1598.0,1604.56,108.727428668,221
2018-01-25T17:00:00.0000000Z,2018-01-25T18:00:00.0000000Z,2018-01-25T17:01:27.0000000Z,2018-01-25T17:59:58.0000000Z,1606.56,1621.97,1605.65,1619.81,24.64840971,59
2018-01-25T18:00:00.0000000Z,2018-01-25T19:00:00.0000000Z,2018-01-25T18:00:02.0000000Z,2018-01-25T18:59:24.0000000Z,1619.99,1650.0,1619.99,1641.21,64.27833772,204
2018-01-25T19:00:00.0000000Z,2018-01-25T20:00:00.0000000Z,2018-01-25T19:00:09.0000000Z,2018-01-25T19:59:32.0000000Z,1646.98,1646.98,1632.73,1642.0,106.46488718,77
2018-01-25T20:00:00.0000000Z,2018-01-25T21:00:00.0000000Z,2018-01-25T20:00:13.0000000Z,2018-01-25T20:59:58.0000000Z,1642.0,1661.87,1640.23,1656.82,129.73846451,240
2018-01-25T21:00:00.0000000Z,2018-01-25T22:00:00.0000000Z,2018-01-25T21:00:49.0000000Z,2018-01-25T21:57:47.0000000Z,1657.96,1669.87,1652.81,1669.87,99.807665139,157
2018-01-25T22:00:00.0000000Z,2018-01-25T23:00:00.0000000Z,2018-01-25T22:00:14.0000000Z,2018-01-25T22:56:08.0000000Z,1661.48,1665.87,1643.67,1644.0,59.75081981,125
2018-01-25T23:00:00.0000000Z,2018-01-26T00:00:00.0000000Z,2018-01-25T23:01:26.0000000Z,2018-01-25T23:59:33.0000000Z,1645.67,1645.67,1630.0,1634.78,78.19856202,198
2018-01-26T00:00:00.0000000Z,2018-01-26T01:00:00.0000000Z,2018-01-26T00:00:12.0000000Z,2018-01-26T00:59:19.0000000Z,1630.82,1649.39,1627.0,1649.36,77.143477199,223
2018-01-26T01:00:00.0000000Z,2018-01-26T02:00:00.0000000Z,2018-01-26T01:00:03.0000000Z,2018-01-26T01:57:05.0000000Z,1649.37,1649.37,1641.01,1641.01,31.27471254,81
2018-01-26T02:00:00.0000000Z,2018-01-26T03:00:00.0000000Z,2018-01-26T02:00:24.0000000Z,2018-01-26T02:59:01.0000000Z,1646.05,1671.58,1644.16,1661.18,156.39793068,242
2018-01-26T03:00:00.0000000Z,2018-01-26T04:00:00.0000000Z,2018-01-26T03:00:17.0000000Z,2018-01-26T03:56:32.0000000Z,1661.61,1668.36,1654.63,1663.21,34.47509377,76
2018-01-26T04:00:00.0000000Z,2018-01-26T05:00:00.0000000Z,2018-01-26T04:03:31.0000000Z,2018-01-26T04:51:45.0000000Z,1660.23,1670.0,1647.48,1657.35,63.87461485,148
2018-01-26T05:00:00.0000000Z,2018-01-26T06:00:00.0000000Z,2018-01-26T05:07:46.0000000Z,2018-01-26T05:58:46.0000000Z,1656.82,1659.32,1647.94,1649.14,254.67722267,361
2018-01-26T06:00:00.0000000Z,2018-01-26T07:00:00.0000000Z,2018-01-26T06:00:00.0000000Z,2018-01-26T06:59:46.0000000Z,1649.74,1658.49,1644.92,1652.77,436.91605444,476
2018-01-26T07:00:00.0000000Z,2018-01-26T08:00:00.0000000Z,2018-01-26T07:00:06.0000000Z,2018-01-26T07:59:25.0000000Z,1650.94,1651.0,1602.92,1602.92,241.17721617,375
2018-01-26T08:00:00.0000000Z,2018-01-26T09:00:00.0000000Z,2018-01-26T08:01:03.0000000Z,2018-01-26T08:59:59.0000000Z,1603.48,1606.77,1521.53,1552.54,1206.12922359,992
2018-01-26T09:00:00.0000000Z,2018-01-26T10:00:00.0000000Z,2018-01-26T09:00:11.0000000Z,2018-01-26T09:59:47.0000000Z,1552.54,1556.59,1475.36,1500.0,642.03404312,619
2018-01-26T10:00:00.0000000Z,2018-01-26T11:00:00.0000000Z,2018-01-26T10:00:40.0000000Z,2018-01-26T10:58:41.0000000Z,1499.99,1528.88,1485.02,1521.01,240.41980038,368
2018-01-26T11:00:00.0000000Z,2018-01-26T12:00:00.0000000Z,2018-01-26T11:00:04.0000000Z,2018-01-26T11:58:25.0000000Z,1519.6,1519.6,1489.27,1505.78,184.47027067,297
2018-01-26T12:00:00.0000000Z,2018-01-26T13:00:00.0000000Z,2018-01-26T12:03:44.0000000Z,2018-01-26T12:59:25.0000000Z,1502.5,1536.0,1489.52,1526.81,275.83861059,359
2018-01-26T13:00:00.0000000Z,2018-01-26T14:00:00.0000000Z,2018-01-26T13:02:02.0000000Z,2018-01-26T13:59:26.0000000Z,1528.16,1544.46,1511.1,1513.0,224.99354169,323
2018-01-26T14:00:00.0000000Z,2018-01-26T15:00:00.0000000Z,2018-01-26T14:01:09.0000000Z,2018-01-26T14:59:59.0000000Z,1513.88,1582.6,1513.88,1580.4,204.99403958,234
2018-01-26T15:00:00.0000000Z,2018-01-26T16:00:00.0000000Z,2018-01-26T15:00:10.0000000Z,2018-01-26T15:59:57.0000000Z,1580.02,1614.47,1577.39,1604.98,305.31803277,385
2018-01-26T16:00:00.0000000Z,2018-01-26T17:00:00.0000000Z,2018-01-26T16:00:02.0000000Z,2018-01-26T16:59:28.0000000Z,1604.98,1625.0,1604.4,1609.97,366.17859287,338
2018-01-26T17:00:00.0000000Z,2018-01-26T18:00:00.0000000Z,2018-01-26T17:02:01.0000000Z,2018-01-26T17:59:48.0000000Z,1616.47,1630.0,1595.55,1630.0,50.14643416,130
2018-01-26T18:00:00.0000000Z,2018-01-26T19:00:00.0000000Z,2018-01-26T18:00:17.0000000Z,2018-01-26T18:58:29.0000000Z,1629.88,1629.99,1581.26,1593.71,196.58071157,320
2018-01-26T19:00:00.0000000Z,2018-01-26T20:00:00.0000000Z,2018-01-26T19:00:02.0000000Z,2018-01-26T19:59:38.0000000Z,1590.01,1590.01,1565.65,1573.65,70.41932075,73
2018-01-26T20:00:00.0000000Z,2018-01-26T21:00:00.0000000Z,2018-01-26T20:05:35.0000000Z,2018-01-26T20:53:22.0000000Z,1573.0,1583.48,1569.01,1570.5,59.3021512,79
2018-01-26T21:00:00.0000000Z,2018-01-26T22:00:00.0000000Z,2018-01-26T21:02:03.0000000Z,2018-01-26T21:58:29.0000000Z,1571.94,1573.2,1547.02,1563.84,55.2207395,119
2018-01-26T22:00:00.0000000Z,2018-01-26T23:00:00.0000000Z,2018-01-26T22:01:25.0000000Z,2018-01-26T22:56:40.0000000Z,1556.32,1565.73,1547.8,1547.82,41.13232378,75
2018-01-26T23:00:00.0000000Z,2018-01-27T00:00:00.0000000Z,2018-01-26T23:05:19.0000000Z,2018-01-26T23:52:13.0000000Z,1551.39,1604.8,1551.39,1604.8,57.73601052,112
2018-01-27T00:00:00.0000000Z,2018-01-27T01:00:00.0000000Z,2018-01-27T00:00:00.0000000Z,2018-01-27T00:59:04.0000000Z,1593.06,1610.91,1593.06,1610.89,42.79589014,88
2018-01-27T01:00:00.0000000Z,2018-01-27T02:00:00.0000000Z,2018-01-27T01:00:21.0000000Z,2018-01-27T01:44:57.0000000Z,1602.36,1608.66,1587.92,1588.65,31.25940875,103
2018-01-27T02:00:00.0000000Z,2018-01-27T03:00:00.0000000Z,2018-01-27T02:07:16.0000000Z,2018-01-27T02:59:50.0000000Z,1586.4,1610.0,1579.04,1589.62,79.25998057,146
2018-01-27T03:00:00.0000000Z,2018-01-27T04:00:00.0000000Z,2018-01-27T03:01:52.0000000Z,2018-01-27T03:59:37.0000000Z,1592.38,1603.49,1578.18,1580.08,23.09647649,54
2018-01-27T04:00:00.0000000Z,2018-01-27T05:00:00.0000000Z,2018-01-27T04:01:02.0000000Z,2018-01-27T04:59:56.0000000Z,1578.61,1600.0,1578.18,1599.68,198.2910346,375
2018-01-27T05:00:00.0000000Z,2018-01-27T06:00:00.0000000Z,2018-01-27T05:00:01.0000000Z,2018-01-27T05:59:32.0000000Z,1590.02,1620.0,1590.02,1615.8,81.28834558,197
2018-01-27T06:00:00.0000000Z,2018-01-27T07:00:00.0000000Z,2018-01-27T06:05:18.0000000Z,2018-01-27T06:58:31.0000000Z,1619.91,1630.0,1610.0,1620.29,101.44806552,123
2018-01-27T07:00:00.0000000Z,2018-01-27T08:00:00.0000000Z,2018-01-27T07:00:42.0000000Z,2018-01-27T07:58:59.0000000Z,1618.52,1623.27,1602.0,1606.0,43.58547328,89
2018-01-27T08:00:00.0000000Z,2018-01-27T09:00:00.0000000Z,2018-01-27T08:03:15.0000000Z,2018-01-27T08:57:35.0000000Z,1603.42,1621.58,1600.0,1600.0,69.10813271,98
2018-01-27T09:00:00.0000000Z,2018-01-27T10:00:00.0000000Z,2018-01-27T09:01:52.0000000Z,2018-01-27T09:59:50.0000000Z,1600.83,1609.34,1595.0,1601.02,67.00110002,85
2018-01-27T10:00:00.0000000Z,2018-01-27T11:00:00.0000000Z,2018-01-27T10:00:06.0000000Z,2018-01-27T10:58:30.0000000Z,1602.04,1616.0,1595.02,1595.49,48.447811399,141
2018-01-27T11:00:00.0000000Z,2018-01-27T12:00:00.0000000Z,2018-01-27T11:00:46.0000000Z,2018-01-27T11:59:24.0000000Z,1603.3,1604.18,1557.66,1570.0,135.40699957,187
2018-01-27T12:00:00.0000000Z,2018-01-27T13:00:00.0000000Z,2018-01-27T12:00:17.0000000Z,2018-01-27T12:57:02.0000000Z,1570.0,1578.2,1563.96,1574.66,21.70721952,86
2018-01-27T13:00:00.0000000Z,2018-01-27T14:00:00.0000000Z,2018-01-27T13:01:30.0000000Z,2018-01-27T13:51:27.0000000Z,1572.03,1596.48,1572.03,1587.65,25.77624316,57
2018-01-27T14:00:00.0000000Z,2018-01-27T15:00:00.0000000Z,2018-01-27T14:03:35.0000000Z,2018-01-27T14:59:04.0000000Z,1582.78,1593.84,1576.28,1584.96,39.97817738,57
2018-01-27T15:00:00.0000000Z,2018-01-27T16:00:00.0000000Z,2018-01-27T15:00:45.0000000Z,2018-01-27T15:59:15.0000000Z,1584.97,1644.99,1584.97,1638.2,104.88830242,211
2018-01-27T16:00:00.0000000Z,2018-01-27T17:00:00.0000000Z,2018-01-27T16:00:05.0000000Z,2018-01-27T16:59:40.0000000Z,1638.03,1698.26,1630.0,1648.49,370.42515011,296
2018-01-27T17:00:00.0000000Z,2018-01-27T18:00:00.0000000Z,2018-01-27T17:00:03.0000000Z,2018-01-27T17:59:35.0000000Z,1649.07,1678.85,1634.0,1639.96,237.37962433,333
2018-01-27T18:00:00.0000000Z,2018-01-27T19:00:00.0000000Z,2018-01-27T18:00:07.0000000Z,2018-01-27T18:59:54.0000000Z,1639.87,1655.75,1634.72,1654.46,71.02656204,198
2018-01-27T19:00:00.0000000Z,2018-01-27T20:00:00.0000000Z,2018-01-27T19:03:13.0000000Z,2018-01-27T19:59:54.0000000Z,1655.33,1664.92,1642.08,1645.99,90.15613226,180
2018-01-27T20:00:00.0000000Z,2018-01-27T21:00:00.0000000Z,2018-01-27T20:01:34.0000000Z,2018-01-27T20:59:42.0000000Z,1651.7,1665.0,1650.0,1650.0,59.3886327,151
2018-01-27T21:00:00.0000000Z,2018-01-27T22:00:00.0000000Z,2018-01-27T21:00:11.0000000Z,2018-01-27T21:59:38.0000000Z,1650.0,1658.97,1632.85,1649.44,79.556995959,152
2018-01-27T22:00:00.0000000Z,2018-01-27T23:00:00.0000000Z,2018-01-27T22:05:04.0000000Z,2018-01-27T22:58:45.0000000Z,1653.22,1655.66,1636.79,1640.0,19.49251652,51
2018-01-27T23:00:00.0000000Z,2018-01-28T00:00:00.0000000Z,2018-01-27T23:00:22.0000000Z,2018-01-27T23:59:48.0000000Z,1640.75,1640.75,1624.12,1626.3,38.70906413,80
2018-01-28T00:00:00.0000000Z,2018-01-28T01:00:00.0000000Z,2018-01-28T00:01:16.0000000Z,2018-01-28T00:56:20.0000000Z,1630.23,1649.89,1630.23,1643.08,36.30717502,79
2018-01-28T01:00:00.0000000Z,2018-01-28T02:00:00.0000000Z,2018-01-28T01:00:25.0000000Z,2018-01-28T01:53:53.0000000Z,1643.25,1648.13,1631.0,1637.89,39.77849544,67
2018-01-28T02:00:00.0000000Z,2018-01-28T03:00:00.0000000Z,2018-01-28T02:11:50.0000000Z,2018-01-28T02:58:47.0000000Z,1637.1,1637.16,1630.14,1633.13,9.14940589,38
2018-01-28T03:00:00.0000000Z,2018-01-28T04:00:00.0000000Z,2018-01-28T03:01:01.0000000Z,2018-01-28T03:58:12.0000000Z,1632.65,1648.2,1632.65,1640.57,18.15662167,58
2018-01-28T04:00:00.0000000Z,2018-01-28T05:00:00.0000000Z,2018-01-28T04:02:14.0000000Z,2018-01-28T04:58:44.0000000Z,1646.39,1698.2,1641.1,1691.67,95.67070379,162
2018-01-28T05:00:00.0000000Z,2018-01-28T06:00:00.0000000Z,2018-01-28T05:00:13.0000000Z,2018-01-28T05:56:29.0000000Z,1682.45,1705.0,1676.27,1687.39,356.55168395,638
2018-01-28T06:00:00.0000000Z,2018-01-28T07:00:00.0000000Z,2018-01-28T06:01:22.0000000Z,2018-01-28T06:58:34.0000000Z,1685.32,1727.0,1673.44,1714.97,273.4122338,293
2018-01-28T07:00:00.0000000Z,2018-01-28T08:00:00.0000000Z,2018-01-28T07:04:29.0000000Z,2018-01-28T07:59:22.0000000Z,1722.3,1722.99,1681.62,1684.41,173.0630662,222
2018-01-28T08:00:00.0000000Z,2018-01-28T09:00:00.0000000Z,2018-01-28T08:00:06.0000000Z,2018-01-28T08:59:52.0000000Z,1684.77,1713.0,1684.77,1708.31,237.76173148,276
2018-01-28T09:00:00.0000000Z,2018-01-28T10:00:00.0000000Z,2018-01-28T09:00:05.0000000Z,2018-01-28T09:58:31.0000000Z,1708.28,1708.28,1677.29,1689.11,74.31444061,112
2018-01-28T10:00:00.0000000Z,2018-01-28T11:00:00.0000000Z,2018-01-28T10:02:20.0000000Z,2018-01-28T10:59:59.0000000Z,1689.12,1721.0,1689.1,1711.45,107.31235021,181
2018-01-28T11:00:00.0000000Z,2018-01-28T12:00:00.0000000Z,2018-01-28T11:00:00.0000000Z,2018-01-28T11:59:57.0000000Z,1711.45,1745.0,1707.45,1744.95,129.93914833,210
2018-01-28T12:00:00.0000000Z,2018-01-28T13:00:00.0000000Z,2018-01-28T12:00:00.0000000Z,2018-01-28T12:59:07.0000000Z,1740.07,1760.0,1691.84,1698.97,168.37455799,158
2018-01-28T13:00:00.0000000Z,2018-01-28T14:00:00.0000000Z,2018-01-28T13:01:47.0000000Z,2018-01-28T13:54:08.0000000Z,1694.3,1708.34,1682.45,1705.91,84.35749169,147
2018-01-28T14:00:00.0000000Z,2018-01-28T15:00:00.0000000Z,2018-01-28T14:00:17.0000000Z,2018-01-28T14:59:50.0000000Z,1706.81,1719.92,1690.0,1709.84,73.05259662,112
2018-01-28T15:00:00.0000000Z,2018-01-28T16:00:00.0000000Z,2018-01-28T15:02:25.0000000Z,2018-01-28T15:59:52.0000000Z,1706.0,1714.84,1699.0,1704.72,81.59058333,148
